# a ($\AA$) b ($\AA$) c ($\AA$) volume ($\AA^2$)
2.238588337259768224e+01 1.938570959849509379e+01 2.822981284916507505e+01 1.225078557339018698e+04
2.238423849717367631e+01 1.940368619959030028e+01 2.825873328223046954e+01 1.227380607948062425e+04
2.236530126944387931e+01 1.938462058535152366e+01 2.820914341950751592e+01 1.222987326308477714e+04
2.238969455250791896e+01 1.941757348092686897e+01 2.825473905680152598e+01 1.228384780380134362e+04
2.238459131035010685e+01 1.938827619020764814e+01 2.819001705924875267e+01 1.223442902948915435e+04
2.239474964522131373e+01 1.941838022046831824e+01 2.826285370920469120e+01 1.229066050985785296e+04
2.238599108320439157e+01 1.940922934374896869e+01 2.825655829499108407e+01 1.227732863464436559e+04
2.239379867439653182e+01 1.939728955560521939e+01 2.826722731312817416e+01 1.227868985212582447e+04
2.237853827445717414e+01 1.938854308509373325e+01 2.822322751968485832e+01 1.224569867386569058e+04
2.244006570954570989e+01 1.946144098560030855e+01 2.830559040682161509e+01 1.236150463108334770e+04
2.237912005351136813e+01 1.941325764912052776e+01 2.828092620334427210e+01 1.228669430480695337e+04
2.238673285195435980e+01 1.939821100133235277e+01 2.825116058029847466e+01 1.226842152824810910e+04
2.238350622138145951e+01 1.940226944418623845e+01 2.824024134396266561e+01 1.226447753674238629e+04
2.237907431702253902e+01 1.940256218284696033e+01 2.820804157750617946e+01 1.224825268953706836e+04
2.239604051415707531e+01 1.939785051161452856e+01 2.821164559115216974e+01 1.225612754859547567e+04
