# a ($\AA$) b ($\AA$) c ($\AA$) volume ($\AA^2$)
2.167186651393911134e+01 1.895242708707848323e+01 3.443957266851825239e+01 1.414551962518191613e+04
2.170354341338380877e+01 1.898854619176843528e+01 3.441541670960258159e+01 1.418323805495950546e+04
2.171773150651948470e+01 1.892047814305006526e+01 3.428324190298943108e+01 1.408732227763229639e+04
2.175909183212637643e+01 1.893134248992460300e+01 3.434097162790548907e+01 1.414603591153518391e+04
2.174496266661759947e+01 1.886290867153672934e+01 3.422373843392595916e+01 1.403766184421730031e+04
2.177178473405209402e+01 1.893797977463684390e+01 3.430539062765116398e+01 1.414457975922231344e+04
2.169644810214064279e+01 1.895854189086551145e+01 3.441040177745063033e+01 1.415413449035784834e+04
2.173840314413148178e+01 1.888707474259593866e+01 3.434559252880202251e+01 1.410143632784334295e+04
2.167470556543378635e+01 1.892555660308416776e+01 3.428335038116303224e+01 1.406323146792855732e+04
2.179223788048405908e+01 1.888539698130718847e+01 3.432028518855302934e+01 1.412468714956467375e+04
2.170971223292784202e+01 1.896344484109867423e+01 3.451748867132982923e+01 1.421053702773323130e+04
2.173380404312132441e+01 1.887862032916793353e+01 3.435839442214108885e+01 1.409739473366019229e+04
2.172520969071409880e+01 1.894489218060987668e+01 3.433658345956016689e+01 1.413231128757273473e+04
2.173580475608385854e+01 1.890771531612930545e+01 3.434687137641078181e+01 1.411568514757436969e+04
2.174119618094562867e+01 1.888651746683670751e+01 3.425031809983406106e+01 1.406371085539784872e+04
