-7.7911769889e-02 -9.4834682888e-02 3.2360143403e-01
-7.7911033179e-02 -9.4835247958e-02 3.2360527811e-01
-7.7911553179e-02 -9.4836343343e-02 3.2360185560e-01
-7.7911135814e-02 -9.4837039360e-02 3.2360564195e-01
-7.7911149493e-02 -9.4835516669e-02 3.2360200501e-01
-7.7910753586e-02 -9.4835977371e-02 3.2360590398e-01
-7.7911187077e-02 -9.4837227323e-02 3.2360261469e-01
-7.7910635016e-02 -9.4837778037e-02 3.2360623276e-01
-5.4824737066e-01 4.7882813091e-01 6.8588369690e-01
-5.4824440209e-01 4.7882784175e-01 6.8587969425e-01
-5.4824577547e-01 4.7882746664e-01 6.8588268328e-01
-5.4824280017e-01 4.7882688122e-01 6.8587890605e-01
-5.4824613738e-01 4.7882817373e-01 6.8588234863e-01
-5.4824349848e-01 4.7882798450e-01 6.8587839750e-01
-5.4824493800e-01 4.7882720714e-01 6.8588179400e-01
-5.4824171766e-01 4.7882708645e-01 6.8587768013e-01
-5.6794840020e-01 -6.8777326575e-02 -5.1124806349e-01
-5.6794775644e-01 -6.8773935176e-02 -5.1124045409e-01
-5.6794983388e-01 -6.8777346475e-02 -5.1124873579e-01
-5.6794906381e-01 -6.8774155677e-02 -5.1124093498e-01
-5.6794873256e-01 -6.8777322363e-02 -5.1124767177e-01
-5.6794820212e-01 -6.8773972200e-02 -5.1124031742e-01
-5.6795018367e-01 -6.8777481205e-02 -5.1124863698e-01
-5.6794930599e-01 -6.8773959286e-02 -5.1124073936e-01
-7.4248656207e-01 -4.3093522370e-01 1.1609399651e+00
-7.4248603697e-01 -4.3093317469e-01 1.1609363255e+00
-7.4248640230e-01 -4.3093943365e-01 1.1609425187e+00
-7.4248577924e-01 -4.3093741498e-01 1.1609392530e+00
-7.4248656087e-01 -4.3093565948e-01 1.1609412054e+00
-7.4248610096e-01 -4.3093378613e-01 1.1609377231e+00
-7.4248615073e-01 -4.3094004038e-01 1.1609439731e+00
-7.4248575599e-01 -4.3093799762e-01 1.1609402236e+00
-7.7786829595e-02 3.5413115420e-02 1.4263250311e-02
-7.7786759199e-02 3.5413320412e-02 1.4263701952e-02
-7.7786569662e-02 3.5414009686e-02 1.4263742648e-02
-7.7786478260e-02 3.5414195035e-02 1.4264017712e-02
-7.7786330473e-02 3.5413548960e-02 1.4263743921e-02
-7.7786588320e-02 3.5413569187e-02 1.4263821028e-02
-7.7786195004e-02 3.5414078334e-02 1.4263943823e-02
-7.7786129822e-02 3.5414302552e-02 1.4264415125e-02
6.2575954213e-01 4.2447478656e-01 -7.4460110910e-01
6.2575932464e-01 4.2447458512e-01 -7.4460203453e-01
6.2576046599e-01 4.2447349570e-01 -7.4460181477e-01
6.2576049858e-01 4.2447343152e-01 -7.4460253489e-01
6.2575985876e-01 4.2447540223e-01 -7.4460228847e-01
6.2575947049e-01 4.2447520471e-01 -7.4460326691e-01
6.2576085142e-01 4.2447407248e-01 -7.4460297836e-01
6.2576064468e-01 4.2447396394e-01 -7.4460384814e-01
1.5140346829e-01 2.5191644114e-01 -9.6315717060e-02
1.5140323815e-01 2.5191639291e-01 -9.6315556007e-02
1.5140321403e-01 2.5191646226e-01 -9.6316090051e-02
1.5140286239e-01 2.5191606122e-01 -9.6315952617e-02
1.5140356124e-01 2.5191615254e-01 -9.6314910228e-02
1.5140335776e-01 2.5191600083e-01 -9.6315045989e-02
1.5140318564e-01 2.5191601964e-01 -9.6315349686e-02
1.5140291685e-01 2.5191584667e-01 -9.6315413556e-02
3.7624822903e-01 -7.2039087070e-01 6.8826084233e-01
