# a ($\AA$) b ($\AA$) c ($\AA$) volume ($\AA^2$)
2.254142319733779942e+01 1.957533225388434772e+01 2.853303264746281442e+01 1.259036753294064511e+04
2.256436387405355859e+01 1.961382557601811527e+01 2.858146607833583985e+01 1.264939939909259738e+04
2.255801592377682141e+01 1.955905702712747996e+01 2.852391346331578248e+01 1.258513625967390362e+04
2.257266171692024770e+01 1.957186528033687978e+01 2.854668751956081607e+01 1.261161522002667334e+04
2.256211330688505257e+01 1.955131232319674339e+01 2.847917372214602239e+01 1.256270246684999256e+04
2.258042994149355920e+01 1.958215420976613075e+01 2.854583805949461350e+01 1.262221201868182652e+04
2.256336039455889164e+01 1.958170454872490396e+01 2.856259763205209623e+01 1.261978557360265586e+04
2.260112876985324348e+01 1.960099409232229206e+01 2.857137799122651245e+01 1.265725163552993035e+04
2.256069052584955514e+01 1.954912430686698954e+01 2.855002034474899020e+01 1.259175075091029248e+04
2.262527702278220332e+01 1.959906249619798402e+01 2.857315793595788023e+01 1.267031595550262318e+04
2.254616292998253613e+01 1.958892191292093798e+01 2.856827895017972807e+01 1.261732395598896619e+04
2.258769860250053085e+01 1.958225440643826332e+01 2.857319508394248331e+01 1.263844023153513990e+04
2.256980021483075305e+01 1.958475307832576462e+01 2.856031515775359253e+01 1.262434372581989555e+04
2.256325443526292673e+01 1.955548944224631924e+01 2.850438341001813924e+01 1.257714540694824427e+04
2.258843541146036671e+01 1.957038141006032461e+01 2.851590906243369972e+01 1.260586527756765281e+04
