# a ($\AA$) b ($\AA$) c ($\AA$) volume ($\AA^2$)
2.260524629640122640e+01 1.985218584852882273e+01 2.924182740024051697e+01 1.312266629098088015e+04
2.271143071981069639e+01 1.993665315946626748e+01 2.912465735113164556e+01 1.318735118514162787e+04
2.271734010895703904e+01 1.986334605168816836e+01 2.910467157957204876e+01 1.313326150430260168e+04
2.281682839314576583e+01 1.984234940014585291e+01 2.898686052115782985e+01 1.312349619338505545e+04
2.278424669002270875e+01 1.978199152436043562e+01 2.894754397944050694e+01 1.304717261155076994e+04
2.280880073049879897e+01 1.989286696123406628e+01 2.897211152785326504e+01 1.314558681136367886e+04
2.278834734929575490e+01 1.993736195270282607e+01 2.896776677707999781e+01 1.316120152546519967e+04
2.282860106114023324e+01 1.982306978240199058e+01 2.896434772213198272e+01 1.310732177367388067e+04
2.272552468939503001e+01 1.994496809345420729e+01 2.891381197824517102e+01 1.310547050918154127e+04
2.297811677660875773e+01 1.971094230114487544e+01 2.904873941266552251e+01 1.315676475627052605e+04
2.266184694955836321e+01 1.992131423435046145e+01 2.917106272013562318e+01 1.316938636280670289e+04
2.279392793841133980e+01 1.984700035148079067e+01 2.900624322462185845e+01 1.312216615758109401e+04
2.271694488958948810e+01 1.990882725609912640e+01 2.906743004602849112e+01 1.314626065016019675e+04
2.276447644378668045e+01 1.988206293150812343e+01 2.889056785973019714e+01 1.307600833764249910e+04
2.284073043805820902e+01 1.983449121055903319e+01 2.886855998888628605e+01 1.307844691727132340e+04
